,IFC,Master Format,eBPK,Master Format indexes,eBPK indexes
1234,suspension_ cable,"['Cable Pressurization Equipment' 'Medium-Voltage Cables'
 'Cable Trays for Electrical Systems']",['Rainwater line' 'Gas line' 'Power line'],[6459 4490 4503],[34 35 28]
1235,tie bar,['Bar Equipment' 'Bar Gratings' 'Climber-type Bar Screens'],"['Tied stairs' 'Earth connected podium'
 'Weather related construction measures']",[2871 1152 8477],[59 60 20]
1236,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1237,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1238,base_  plate,"['Metal Plate Wall Panels' 'Metal Floor Plate Stairs'
 'Inclined Plate Settlers']",['Base plate' 'Interior door' 'Interior gate'],[1545 1137 8588],[ 58 174 175]
1239,cover_  plate,"['Metal Plate Wall Panels' 'Metal Floor Plate Stairs'
 'Inclined Plate Settlers']",['Base plate' 'Interior door' 'Interior gate'],[1545 1137 8588],[ 58 174 175]
1240,curtain_ panel,['Panel Doors' 'Wall-Mounted Panels' 'Tile-Faced Panels'],['Room automation' 'Storey blanket' 'VAT'],[1890 7217 1559],[ 89  65 327]
1241,flange_  plate,"['Metal Plate Wall Panels' 'Metal Floor Plate Stairs'
 'Inclined Plate Settlers']",['Base plate' 'Interior door' 'Interior gate'],[1545 1137 8588],[ 58 174 175]
1242,gusset_  plate,"['Metal Plate Wall Panels' 'Metal Floor Plate Stairs'
 'Inclined Plate Settlers']",['Base plate' 'Interior door' 'Interior gate'],[1545 1137 8588],[ 58 174 175]
1243,sheet,['Sheet Dampproofing' 'Sheet Waterproofing' 'Sheet Metal Roofing'],['Management level' 'Automation level' 'Switching device combination'],[1443 1447 1619],[86 87 91]
1244,splice_  plate,"['Metal Plate Wall Panels' 'Metal Floor Plate Stairs'
 'Inclined Plate Settlers']",['Base plate' 'Interior door' 'Interior gate'],[1545 1137 8588],[ 58 174 175]
1245,stiffener_  plate,"['Metal Plate Wall Panels' 'Metal Floor Plate Stairs'
 'Inclined Plate Settlers']",['Base plate' 'Interior door' 'Interior gate'],[1545 1137 8588],[ 58 174 175]
1246,web_  plate,"['Metal Plate Wall Panels' 'Metal Floor Plate Stairs'
 'Inclined Plate Settlers']",['Base plate' 'Interior door' 'Interior gate'],[1545 1137 8588],[ 58 174 175]
1247,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1248,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1249,balustrade,"['Protective Corridor Handrails' 'Broadcast, Theater, and Stage Equipment'
 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2544 2921 2927],[327 102 104]
1250,fence,['Temporary Fencing' 'Fences and Gates' 'Fence Grounding'],['retaining wall' 'Interior wall construction' 'Outside wall construction'],[ 450 5748 6423],[249  62  61]
1251,guardrail,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1252,handrail,"['Protective Corridor Handrails' 'Broadcast, Theater, and Stage Equipment'
 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2544 2921 2927],[327 102 104]
1253,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1254,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1255,half_turn_  ramp,['Metal Ramps' 'Powered Ramps' 'Temporary Ramps'],['Roof inclined' 'Element to inclined roof' 'Construction inclined roof'],[1147 3541  430],[165 168  69]
1256,quarter_turn_  ramp,['Metal Ramps' 'Powered Ramps' 'Temporary Ramps'],['Roof inclined' 'Element to inclined roof' 'Construction inclined roof'],[1147 3541  430],[165 168  69]
1257,spiral_  ramp,['Metal Ramps' 'Powered Ramps' 'Temporary Ramps'],['Roof inclined' 'Element to inclined roof' 'Construction inclined roof'],[1147 3541  430],[165 168  69]
1258,straight_run_  ramp,['Metal Ramps' 'Powered Ramps' 'Temporary Ramps'],['Roof inclined' 'Element to inclined roof' 'Construction inclined roof'],[1147 3541  430],[165 168  69]
1259,two_quarter_turn_  ramp,['Metal Ramps' 'Powered Ramps' 'Temporary Ramps'],['Roof inclined' 'Element to inclined roof' 'Construction inclined roof'],[1147 3541  430],[165 168  69]
1260,two_straight_run_  ramp,['Metal Ramps' 'Powered Ramps' 'Temporary Ramps'],['Roof inclined' 'Element to inclined roof' 'Construction inclined roof'],[1147 3541  430],[165 168  69]
1261,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1262,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1263,spiral,"['Spiral Screens' 'Fabricated Metal Spiral Stairs'
 'Coiling Exterior Shutters']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8485 1170 2662],[327 102 104]
1264,straight,"['Information Interfaces to Directly Connected Sensors' 'Flat Fillers'
 'Flat Concrete Sawing']",['Element to flat roof' 'Construction of flat roof' 'Reduction flat roof'],[5227 3013  907],[167  68 164]
1265,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1266,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1267,barrel_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1268,butterfly_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1269,dome_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1270,flat_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1271,free form,"['Power and Free Piece Material Conveyors' 'Construction Equipment Form'
 'Products Form']","['Provisional work management' 'working space'
 'Specialist engineer building technology']",[7478  196  186],[ 24  17 295]
1272,gable_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1273,gambrel_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1274,hipped_gable_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1275,hip_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1276,mansard_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1277,pavilion_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1278,rainbow_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1279,shed_  roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1280,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1281,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1282,awning,['Awnings' 'Metal Awnings' 'Fabric Awnings'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2673 2674 2675],[327 102 104]
1283,jalousie,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1284,shutter,"['Exterior Shutters' 'Side-Hinged Exterior Shutters'
 'Decorative Exterior Shutters']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2660 2664 2663],[327 102 104]
1285,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1286,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1287,approach_  slab,"['Concrete Slab Schedule' 'Concrete Slab Reinforcing Schedule'
 'Lift-Slab Concrete']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[808 804 864],[327 102 104]
1288,base  slab,['Base Station' 'Base Station Transceivers' 'Resilient Base'],['Base plate' 'Substructure foundation' 'Foundation'],[4973 6449 2281],[ 58  56 265]
1289,floor,['Floor Lamps' 'Floor Sockets' 'Air-Distribution Floor Plenums'],['Flooring' 'Floor marking' 'Sub construction to flooring'],[3170 3404 4114],[177 268 176]
1290,landing,"['Airfield Landing Equipment' 'Microwave Airfield Landing Equipment'
 'Instrument Airfield Landing Equipment']",['Land registry fee' 'Low current line' 'Provisional work management'],[6595 6596 6597],[ 6 29 24]
1291,paving,"['Concrete Paving' 'Prestressed Concrete Paving'
 'Bases, Ballasts, and Paving']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5670 5674 5617],[327 102 104]
1292,roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
1293,sidewalk,['Sidewalks' 'Aggregate-Turf Pavement' 'Sidewalk Lifts'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5711 5703 3553],[327 102 104]
1294,track  slab,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],['Heat train investment share' 'Top layer' 'working space'],[6509 6530 6499],[109 267  17]
1295,wearing,"['Asphalt Paving Wearing Courses'
 'Road-Mix Asphalt Paving Wearing Courses'
 'Resin-Modified Asphalt Paving Wearing Courses']",['Freely standing wall' 'severance pay' 'Interior support'],[5657 5658 5659],[250   9  64]
1296,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1297,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1298,curved_run_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1299,double_return_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1300,half_turn_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1301,half_winding_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1302,ladder,"['Metal Ladders' 'Vertical Metal Ladders'
 'Communications Cable Management and Ladder Rack']",['Roof inclined' 'Operating income' 'Element to inclined roof'],[1141 1142 4752],[165 324 168]
1303,quarter_turn_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1304,quarter_winding_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1305,spiral_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1306,straight_run_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1307,three_quarter_turn_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1308,three_quarter_winding_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1309,two_curved_run_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1310,two_quarter_turn_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1311,two_quarter_winding_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
1312,two_straight_run_  stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
